ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PG 37:1,790.572388,791.579668,808.606218,813.561608,789.565108,0
PG O-38:1,790.608773,791.616053,808.642603,813.597993,789.601493,0
PG 38:7,792.494138,793.501418,810.527968,815.483358,791.486858,0
PG 37:0,792.588038,793.595318,810.621868,815.577258,791.580758,0
PG O-38:0,792.624423,793.631703,810.658253,815.613643,791.617143,0
PG 38:6,794.509788,795.517068,812.543618,817.499008,793.502508,0
PG 38:5,796.525438,797.532718,814.559268,819.514658,795.518158,0
PG 38:4,798.541088,799.548368,816.574918,821.530308,797.533808,0
PG 38:3,800.556738,801.564018,818.590568,823.545958,799.549458,0
PG dO-40:10;1,802.514873,803.522153,820.548703,825.504093,801.507593,0
PG 38:2,802.572388,803.579668,820.606218,825.561608,801.565108,0
PG O-39:2,802.608773,803.616053,820.642603,825.597993,801.601493,0
PG 39:8,804.494138,805.501418,822.527968,827.483358,803.486858,0
PG O-40:8,804.530523,805.537803,822.564353,827.519743,803.523243,0
PG 38:1,804.588038,805.595318,822.621868,827.577258,803.580758,0
PG O-39:1,804.624423,805.631703,822.658253,827.613643,803.617143,0
PG 39:7,806.509788,807.517068,824.543618,829.499008,805.502508,0
PG O-40:7,806.546173,807.553453,824.580003,829.535393,805.538893,0
PG 38:0,806.603688,807.610968,824.637518,829.592908,805.596408,0
PG O-39:0,806.640073,807.647353,824.673903,829.629293,805.632793,0
PG dO-40:0,806.676458,807.683738,824.710288,829.665678,805.669178,0
PG 39:6,808.525438,809.532718,826.559268,831.514658,807.518158,0
PG O-40:6,808.561823,809.569103,826.595653,831.551043,807.554543,0
PG 39:5,810.541088,811.548368,828.574918,833.530308,809.533808,0
PG O-40:5,810.577473,811.584753,828.611303,833.566693,809.570193,0
PG 39:4,812.556738,813.564018,830.590568,835.545958,811.549458,0
PG O-40:4,812.593123,813.600403,830.626953,835.582343,811.585843,0
PG 40:10,814.478488,815.485768,832.512318,837.467708,813.471208,0
PG 39:3,814.572388,815.579668,832.606218,837.561608,813.565108,0
PG O-40:3,814.608773,815.616053,832.642603,837.597993,813.601493,0
PG 40:9,816.494138,817.501418,834.527968,839.483358,815.486858,0
PG 39:2,816.588038,817.595318,834.621868,839.577258,815.580758,0
PG O-40:2,816.624423,817.631703,834.658253,839.613643,815.617143,0
PG 40:8,818.509788,819.517068,836.543618,841.499008,817.502508,0
PG 39:1,818.603688,819.610968,836.637518,841.592908,817.596408,0
PG O-40:1,818.640073,819.647353,836.673903,841.629293,817.632793,0
PG 40:7,820.525438,821.532718,838.559268,843.514658,819.518158,0
PG 39:0,820.619338,821.626618,838.653168,843.608558,819.612058,0
PG O-40:0,820.655723,821.663003,838.689553,843.644943,819.648443,0
PG 40:6,822.541088,823.548368,840.574918,845.530308,821.533808,0
PG dO-40:10;1,822.671373,823.678653,840.705203,845.660593,821.664093,0
PG 40:5,824.556738,825.564018,842.590568,847.545958,823.549458,0
PG 40:4,826.572388,827.579668,844.606218,849.561608,825.565108,0
