ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PS O-33:1,733.525772,734.533052,751.559602,756.514992,732.518492,0
PS 32:0,735.505037,736.512317,753.538867,758.494257,734.497757,0
PS O-33:0,735.541422,736.548702,753.575252,758.530642,734.534142,0
PS 33:5,739.442437,740.449717,757.476267,762.431657,738.435157,0
PS O-34:5,739.478822,740.486102,757.512652,762.468042,738.471542,0
PS 33:4,741.458087,742.465367,759.491917,764.447307,740.450807,0
PS O-34:4,741.494472,742.501752,759.528302,764.483692,740.487192,0
PS 33:3,743.473737,744.481017,761.507567,766.462957,742.466457,0
PS O-34:3,743.510122,744.517402,761.543952,766.499342,742.502842,0
PS 33:2,745.489387,746.496667,763.523217,768.478607,744.482107,0
PS O-34:2,745.525772,746.533052,763.559602,768.514992,744.518492,0
PS 30:4;O3,747.395882,748.403162,765.429712,770.385102,746.388602,0
PS 33:1,747.505037,748.512317,765.538867,770.494257,746.497757,0
PS O-34:1,747.541422,748.548702,765.575252,770.530642,746.534142,0
PS 30:3;O3,749.411532,750.418812,767.445362,772.400752,748.404252,0
PS 33:0,749.520687,750.527967,767.554517,772.509907,748.513407,0
PS O-34:0,749.557072,750.564352,767.590902,772.546292,748.549792,0
PS 34:6,751.442437,752.449717,769.476267,774.431657,750.435157,0
PS 34:5,753.458087,754.465367,771.491917,776.447307,752.450807,0
PS 34:4,755.473737,756.481017,773.507567,778.462957,754.466457,0
PS 34:3,757.489387,758.496667,775.523217,780.478607,756.482107,0
PS O-35:3,757.525772,758.533052,775.559602,780.514992,756.518492,0
PS 34:2,759.505037,760.512317,777.538867,782.494257,758.497757,0
PS O-35:2,759.541422,760.548702,777.575252,782.530642,758.534142,0
PS 34:1,761.520687,762.527967,779.554517,784.509907,760.513407,0
PS O-35:1,761.557072,762.564352,779.590902,784.546292,760.549792,0
PS 34:0,763.536337,764.543617,781.570167,786.525557,762.529057,0
PS O-35:0,763.572722,764.580002,781.606552,786.561942,762.565442,0
PS 35:6,765.458087,766.465367,783.491917,788.447307,764.450807,0
PS O-36:6,765.494472,766.501752,783.528302,788.483692,764.487192,0
PS 35:5,767.473737,768.481017,785.507567,790.462957,766.466457,0
PS O-36:5,767.510122,768.517402,785.543952,790.499342,766.502842,0
PS 35:4,769.489387,770.496667,787.523217,792.478607,768.482107,0
PS O-36:4,769.525772,770.533052,787.559602,792.514992,768.518492,0
PS 35:3,771.505037,772.512317,789.538867,794.494257,770.497757,0
PS O-36:3,771.541422,772.548702,789.575252,794.530642,770.534142,0
PS 35:2,773.520687,774.527967,791.554517,796.509907,772.513407,0
PS O-36:2,773.557072,774.564352,791.590902,796.546292,772.549792,0
PS 36:8,775.442437,776.449717,793.476267,798.431657,774.435157,0
PS 35:1,775.536337,776.543617,793.570167,798.525557,774.529057,0
PS O-36:1,775.572722,776.580002,793.606552,798.561942,774.565442,0
PS 36:7,777.458087,778.465367,795.491917,800.447307,776.450807,0
PS 35:0,777.551987,778.559267,795.585817,800.541207,776.544707,0
PS O-36:0,777.588372,778.595652,795.622202,800.577592,776.581092,0
PS 36:6,779.473737,780.481017,797.507567,802.462957,778.466457,0
PS 36:5,781.489387,782.496667,799.523217,804.478607,780.482107,0
PS 36:4,783.505037,784.512317,801.538867,806.494257,782.497757,0
PS 36:3,785.520687,786.527967,803.554517,808.509907,784.513407,0
PS O-37:3,785.557072,786.564352,803.590902,808.546292,784.549792,0
PS 36:2,787.536337,788.543617,805.570167,810.525557,786.529057,0
PS O-37:2,787.572722,788.580002,805.606552,810.561942,786.565442,0
PS 36:1,789.551987,790.559267,807.585817,812.541207,788.544707,0
PS O-37:1,789.588372,790.595652,807.622202,812.577592,788.581092,0
PS 37:7,791.473737,792.481017,809.507567,814.462957,790.466457,0
PS O-38:7,791.510122,792.517402,809.543952,814.499342,790.502842,0
